id,job_title,career_level,experience_level,education_level,skills
49,IT Support,Pegawai (non-manajemen & non-supervisor),2 tahun,Tidak terspesifikasi,"['computer security', 'operating system', 'window server', 'service provider', 'internet service', 'internet service provider', 'information technology', 'problem solve', 'troubleshooting', 'network pc', 'antivirus', 'integrate', 'hosting', 'leadership', 'analytical', 'conceptual', 'presentation']"
51,Electrical Engineer,Pegawai (non-manajemen & non-supervisor),3 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['business to business', 'quality assurance', 'problem solve', 'technical drawing', 'electrical system', 'electrical engineering', 'electrical', 'pump', 'pump specialist', 'commercial building', 'oil gas', 'pumps', 'energetic', 'trustworthy', 'panel controller', 'plc', 'budgeting', 'estimating', 'operational', 'mechanical engineer', 'mechanical', 'drawing technical', 'presentation', 'pre sales', 'consultancy', 'trainings technical', 'designing experience', 'verbal communication', 'autocad', 'responsible ethical']"
52,Solution Sales Executive - SuccessFactors,Tidak Terspesifikasi,,Tidak terspesifikasi,"['value proposition', 'account planning', 'target account', 'regional sale', 'market share', 'business software', 'enterprise resource planning', 'resource planning', 'erp', 'com', 'innovation', 'collaborative', 'sales executive', 'advisory', 'business plan', 'plan', 'successfactors', 'forecast', 'acting', 'add value', 'sales manager', 'execute programs', 'sales cycles', 'sales', 'new business', 'accounts', 'best practices', 'track', 'innovations', 'leadership', 'analytics', 'management', 'personal development', 'invest', 'disabilities', 'operations', 'm', 'disability', 'childbirth']"
53,SOM (Sales Operation Manager),Manajer/Asisten Manajer,5 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['sale operation', 'fast move consumer good', 'visi', 'manager']"
57,Account Payable Officer,Pegawai (non-manajemen & non-supervisor),,Sarjana (S1),"['account payable', 'expense report', 'document preparation', 'record management', 'purchase', 'accounts', 'finance', 'accounting']"
58,Batching Plant Spv Gempol,Supervisor/Koordinator,5 tahun,Sarjana (S1),"['production planning', 'engineering civil', 'leadership', 'construction', 'english', 'communication', 'license', 'java', 'material requirement', 'planning production', 'manage', 'plan', 'human resource', 'government', 'schedule']"
61,Tax Staff,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),"['accounting system', 'microsoft office', 'withhold tax', 'hospitality', 'finance', 'accounting', 'operate', 'preparing tax']"
63,Teknisi Site Rantau dan Cikarang,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,,"SMA, SMU/SMK/STM","['detail orient', 'hydropower', 'visi', 'quality services']"
68,Brand Communication Officer,Tidak Terspesifikasi,,Tidak terspesifikasi,"['brand communication', 'marketing communication', 'business communication', 'professional communication', 'brand', 'coordinate', 'researched', 'sustainable', 'managing events', 'adaptable', 'supervision']"
69,Bookkeeper / Auditor Staff,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['secretarial experience', 'bank reconciliation', 'petty cash', 'financial statement', 'employment contract', 'office administration', 'dynamic person', 'accounting', 'bookkeeping', 'consulting', 'xero', 'auditing', 'english', 'communication skills', 'stage', 'recruitment process', 'audit', 'electronics', 'product development', 'leadership', 'accounts', 'quotations', 'purchase', 'r', 'month end', 'closing', 'schedules', 'ad hoc', 'perform audit']"
71,MARKETING AGENCY & PEOPLE DEVELOPMENT,Supervisor/Koordinator,,Sarjana (S1),"['level head', 'cnc', 'task performance', 'mapping']"
75,Onsite Engineer (CCNA) - Balikpapan,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['computer science', 'electrical engineering', 'tcp ip', 'ccna', 'informatics engineering', 'engineering', 'engineering computer', 'communication', 'coordination', 'cisco']"
81,SALES MANAGER (CITRA RAYA),Manajer/Asisten Manajer,5 tahun,Sarjana (S1),"['real estate', 'sales manager', 'english', 'presentation', 'operate', 'microsoft officeable']"
82,CAD Drafter,Pegawai (non-manajemen & non-supervisor),3 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma)","['drawings', 'creative', 'survey', 'supervision', 'operating', 'autocad', 'sketch', 'communication skills', 'bahasa', 'english']"
85,Branch Manager,Manajer/Asisten Manajer,3 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['fast move consumer good', 'computer literacy', 'microsoft office', 'analytical thinking', 'sales', 'operational', 'manage', 'manager', 'communication', 'negotiation', 'presentation', 'leadership strategic']"
89,Internship Digital Markering,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,,Sarjana (S1),"['google sheet', 'market research', 'operating', 'managing', 'tracking', 'tools google', 'analytics facebook', 'manager', 'tag manager', 'deep dive', 'ad hoc']"
91,PIO Area Part Leader,Pegawai (non-manajemen & non-supervisor),3 tahun,"SMA, SMU/SMK/STM","['stocks', 'operation', 'installation', 'logistics']"
92,DISTRIBUTION CENTER MANAGER,Manajer/Asisten Manajer,3 tahun,Sarjana (S1),"['operation management', 'management process', 'inventory control', 'business process', 'activity monitor', 'project performance', 'warehouse management', 'problem solve', 'planning strategizing', 'executing', 'management', 'logistic', 'business management', 'managing warehouse', 'operations', 'leadership', 'analytical', 'communications skills', 'java']"
96,Strategic Marketing Officer,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),"['mass communication', 'strategic thinking', 'marketing mass', 'economic', 'marketing strategic', 'broadcast', 'marketing field', 'advertisement', 'marketing business', 'business sales', 'budgeting', 'analytical', 'communication', 'presentation']"
97,MERATUS STAR PROGRAM (Business),Supervisor/Koordinator,2 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['on the job training', 'business manager', 'management', 'finalization', 'english']"
98,Process Electrician Superintendent (E&I Superintendent),Tidak Terspesifikasi,,Tidak terspesifikasi,"['technology solution', 'oil and gas', 'plan', 'schedule', 'supervise', 'fabrication', 'coordinating', 'electrical', 'integrated', 'technology engineering', 'construction', 'infrastructure', 'wellhead', 'storage tank', 'transform oil']"
100,Sales Admin,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,,Sarjana (S1),"['create invoice', 'detail orient', 'administrative support', 'sales', 'compile', 'billing', 'collection', 'management', 'economics', 'administration skills', 'english']"
101,Account Officer (Pembiayaan Usaha Mikro),Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),"['survey', 'sales', 'bank', 'c']"
104,IT Staff,Pegawai (non-manajemen & non-supervisor),3 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['computer science', 'information technology', 'network infrastructure', 'computer hardware', 'lan', 'cctv', 'php java', 'sql server', 'security network', 'troubleshooting', 'non']"
105,PROJECT MANAGER,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),"['project planning', 'problem solve', 'project management', 'information system', 'api', 'manage', 'budgets', 'manage scope', 'development reporting', 'collaboration', 'jira', 'trello', 'planning', 'planning execute', 'timeline', 'communication', 'negotiation', 'leadership', 'communicate', 'integration']"
106,Trade Channel Marketing Assistant Manager,Manajer/Asisten Manajer,3 tahun,Sarjana (S1),"['analytical thinking', 'business development', 'operate budget', 'market research', 'market trend', 'return on investment', 'spend analysis', 'english', 'bahasa', 'manager', 'marketing business', 'paint', 'managing', 'operating', 'marketing plans', 'sales', 'accrue', 'track', 'plans', 'processes tools', 'supervise', 'integration', 'merchandising', 'planograms', 'trade promotions', 'program monitor', 'coordinate', 'promote products', 'manage']"
107,Relationship Manager SME Banking,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),"['account management', 'market environment', 'customer service', 'banking', 'account plan account', 'stipulated', 'management', 'activities supports', 'relationship manager', 'english']"
108,Back End Engineer,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['back end', 'version control', 'bahasa', 'php', 'database sql', 'energetic']"
109,Senior Accountant,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['month end closing', 'general ledger', 'bank statement', 'financial statement', 'analytical skill', 'accounting software', 'quantitative analysis', 'problem solve', 'external auditor', 'accountant', 'accounting', 'operations', 'managing', 'financial transactions', 'accounts', 'accountants', 'forecasts', 'accounting principles', 'economics', 'accounting standards', 'month end', 'end closing', 'communication skills', 'eye', 'analytical', 'financial reporting', 'closing', 'reconciliation', 'bookkeeping', 'sap system', 'processing transactions', 'vouchers', 'forecasting', 'coordinate', 'government', 'finance', 'filing', 'audits', 'ad hoc']"
111,Pricing Sales Marketing,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),"['customer service', 'write communication', 'microsoft office', 'sales', 'freight forwarder', 'negotiation', 'skill communication', 'presentation', 'analytical', 'floor', 'recruitment process']"
112,Digital Marketing (Karawaci),Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),"['digital marketing', 'marketing communication', 'planning', 'communication', 'negotiation', 'creative', 'recruitment process']"
115,Admin Online Shop,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['social medium', 'minimal', 'm', 'caption', 'blog', 'marketplace']"
116,Senior Accounting,Supervisor/Koordinator,3 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['microsoft office', 'accounting software', 'problem solve', 'manager', 'accounting', 'bahasa']"
120,"MANAGER TEKNIK PERAWATAN MESIN PRODUKSI - Lokasi Kerja : Majalaya, Bandung",Manajer/Asisten Manajer,5 tahun,Sarjana (S1),"['problem solve', 'sbb', 'leadership', 'baking']"
121,Warehouse Supervisor,Supervisor/Koordinator,3 tahun,Sarjana (S1),"['warehouse management', 'warehouse management system', 'management system', 'standard operating procedure', 'product quality', 'leadership communication', 'communication skill', 'wms', 'storage', 'managing stock', 'supervising', 'operations', 'management', 'dispatching', 'operational']"
122,Education Content Creator,Pegawai (non-manajemen & non-supervisor),1 tahun,Tidak terspesifikasi,"['social medium', 'digital medium', 'medium strategy', 'visual', 'photography', 'execute', 'early childhood', 'creative', 'build relationship']"
123,Finance & Accounting Manager - Port Management - Subang (A-73378),Manajer/Asisten Manajer,3 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['port management', 'balance sheet', 'cash flow', 'business english', 'problem solve', 'analytical thinking', 'project management', 'japanese', 'accounting', 'accounting manager', 'finance', 'manage', 'operation', 'manage financial', 'accounting tax', 'tax manager', 'public accountant', 'financial audit', 'communication', 'presentation', 'leadership', 'english']"
124,IT SECURITY COORDINATOR,Manajer/Asisten Manajer,3 tahun,Sarjana (S1),"['access control', 'identity and access management', 'management system', 'system monitor', 'security policy', 'vulnerability management', 'operating system', 'security software', 'risk mitigation', 'cyber security', 'analytical skill', 'risk management', 'active directory', 'network appliance', 'programming concept', 'penetration test', 'network servers', 'suspicious activity', 'security standards', 'best practices', 'plans', 'risk cyber', 'bahasa', 'english', 'firewall']"
125,Payroll Staff,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),"['human resource management', 'resource management', 'microsoft office', 'execute', 'payroll process', 'calculation', 'finance', 'accountancy', 'banking', 'communication', 'non', 'human resources']"
127,Business Development Officer (Palembang),Pegawai (non-manajemen & non-supervisor),1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['public speak', 'sales', 'strategi marketing', 'closing', 'sales process', 'sales cycle']"
130,Senior Infosec Engineer,Supervisor/Koordinator,4 tahun,"SMA, SMU/SMK/STM, Sarjana (S1)","['technical analysis', 'business process', 'security control', 'network infrastructure', 'incident response', 'system architecture', 'planning', 'information security', 'management', 'applications tools', 'infrastructure', 'product development', 'technical solutions', 'operating', 'applications cloud', 'platforms cloud', 'plan', 'mitigation', 'vulnerabilities', 'analytical', 'communicate', 'leadership', 'english', 'planning executing', 'managing projects', 'automated', 'troubleshooting', 'securing software', 'software code', 'linux', 'managing', 'backend', 'web application', 'sql databases', 'security engineer', 'devops', 'engineer']"
131,Junior Accountant,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),"['business process', 'cost accounting', 'erp', 'consulting', 'outsourcing', 'world wide', 'accountant', 'manage', 'budgets', 'procurement', 'communicate', 'bookkeeping', 'finance', 'english']"
132,"Software Engineer, Core Banking",Pegawai (non-manajemen & non-supervisor),3 tahun,Sarjana (S1),"['pl sql', 'object orient programming', 'programming concept', 'front end', 'continuous integration', 'script language', 'programming language', 'syntax', 'model objects', 'scripts', 'sql', 'object oriented languages', 'collaborating', 'banking', 'collaboration', 'angular', 'object oriented', 'work environment', 'effectively manage', 'innovate', 'entrepreneurship', 'git']"
133,WFH Data E-Commerce Specialist,Pegawai (non-manajemen & non-supervisor),,"Sertifikat Professional, D3 (Diploma), D4 (Diploma)","['e commerce', 'raw datum', 'microsoft office', 'track', 'product data', 'netsuite', 'data', 'data processing', 'english', 'internet connection', 'collaborative', 'work environments']"
134,Project Admin,Pegawai (non-manajemen & non-supervisor),10 tahun,Sarjana (S1),"['project management', 'analytical skill', 'google sheet', 'timeline', 'project initiation', 'track', 'budget', 'communication', 'negotiation', 'sql', 'google analytics', 'filing', 'file', 'collaborating', 'english']"
135,Account Executive,Pegawai (non-manajemen & non-supervisor),3 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['interior design', 'business study', 'problem solve', 'detail orient', 'quality of service', 'management marketing', 'economic', 'communication', 'communication interpersonal', 'negotiation', 'presentation', 'analytical', 'english', 'services provided', 'communicate', 'inquiry', 'sales']"
136,Medical Representative (Natural product),Pegawai (non-manajemen & non-supervisor),2 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['plan', 'sales', 'compile', 'pharmaceutical', 'license', 'c']"
138,Management Trainee,Supervisor/Koordinator,1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma)","['cash flow', 'management', 'target oriented', 'acting', 'survey', 'accounting', 'sales']"
140,Head of Sales & Operations,CEO/GM/Direktur/Manajer Senior,5 tahun,Sarjana (S1),"['business process', 'marketing planning', 'marketing business', 'negotiation', 'communication skills', 'leadership', 'creative', 'innovative', 'target oriented', 'new business', 'licensing', 'legal documents', 'licenses']"
142,Team Leader area Jawa Tengah,Supervisor/Koordinator,3 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['constructive feedback', 'sales', 'agricultural', 'agricultural products', 'communication skills', 'collaboratively', 'motorcycle']"
145,Product Manager Loyalty,Tidak Terspesifikasi,,Tidak terspesifikasi,"['loyalty program', 'product management', 'customer retention', 'product strategy', 'problem solve', 'business case', 'customers', 'shortest path', 'product teams', 'accrual', 'engineers researchers', 'operations', 'targets', 'backlog', 'technical software', 'cross functional teams', 'long term', 'software developers', 'innovative', 'research', 'analytical', 'data analysis', 'lean testing', 'testing methods', 'improves product']"
147,Account Manager,Manajer/Asisten Manajer,3 tahun,Sarjana (S1),"['marketing operation', 'marketing strategy', 'microsoft office', 'case', 'account manager', 'coordinating', 'sales', 'presentation', 'communications', 'accounts', 'co operation', 'communication', 'advertising', 'research', 'budgets', 'communicate', 'english written', 'professional', 'resourceful']"
148,R&D Formulator Staff,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),"['production process', 'documents prepare', 'registration', 'scale', 'r', 'agile', 'tablets']"
149,Graphic designer,Pegawai (non-manajemen & non-supervisor),,Tidak terspesifikasi,"['adobe photoshop', 'social medium', 'visual', 'program design', 'indesign', 'flyer', 'brand', 'editing']"
151,Frontend - ReactJs Developer,Pegawai (non-manajemen & non-supervisor),1 tahun,Tidak terspesifikasi,"['management system', 'front end', 'software engineering', 'write communication', 'api', 'develop management', 'project manager', 'required system']"
152,Business Development,Pegawai (non-manajemen & non-supervisor),5 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['microsoft office', 'microsoft word', 'interpersonal communication', 'market research', 'negotiation', 'presentation', 'thinking high', 'depth market', 'planning develop', 'execute']"
153,SPG/SPB Outdoor Sales Executive,Pegawai (non-manajemen & non-supervisor),2 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['credit card', 'sale', 'sales', 'sales effective', 'communication', 'negotiation', 'source', 'manage', 'disseminate', 'brochure', 'flyers']"
154,Senior Software Engineer - Android Mobile,Supervisor/Koordinator,3 tahun,Sarjana (S1),"['cloud service', 'mobile device', 'crash report', 'software development', 'android development', 'source code', 'text file', 'technical communication', 'node js', 'api', 'android', 'bugs reported', 'long term', 'build modular', 'subsystems', 'libraries', 'maintainability', 'testability', 'developing software', 'code reviewing', 'data storage', 'investigate', 'best practices', 'engineers products', 'products data', 'operations', 'developing testing', 'debugging', 'troubleshooting', 'programming languages', 'kotlin', 'java', 'unit tests', 'coroutines', 'backend', 'layer', 'database structures', 'sql', 'development tools', 'firebase', 'development process', 'jira', 'engineering computer', 'english', 'nice', 'python', 'communications']"
155,Mortgage Sales Specialist - Jabodetabek,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),"['targeted', 'loan mortgage', 'excellent service', 'banking']"
156,IT Project Management,Manajer/Asisten Manajer,6 tahun,Sarjana (S1),"['information technology', 'information system', 'problem solve', 'manage', 'projects coordinate', 'plan', 'coordinate', 'budget', 'costs', 'costs job', 'management', 'life insurance', 'communication']"
158,Scrum Master,Manajer/Asisten Manajer,2 tahun,Sarjana (S1),"['product planning', 'agile methodology', 'application development', 'technical information', 'information system', 'computer science', 'leading training', 'scrum', 'adoption', 'planning', 'advising', 'management', 'positive', 'collaboration', 'backlog', 'collecting data', 'drawing', 'jira', 'confluence', 'trello', 'scrum master']"
